;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n
Quantas cadeiras tem o estádio do Futebol Clube do Porto;209207781;212725677;221247418;231921336;224899325;243119754;411679279;396344807;241386324;242225236;860498109;706154215;275683697;263717872;1242416657;1101117198;283631480;279767293;1858709205;1784436799;316594799;333949877;4241895461;4127536568;393924955;395461030;8256325188;8256713629;491561259;510039891;31007316352;32832163657;690148124;717662488;0;0;729737921;795786215;0;0;801777499;838156443;0;0
Com quem a filha de Robert Kennedy casou-se?;220426213;197264039;284834048;216763415;245816565;228820646;374056042;285301739;229064757;208790653;742431332;394793556;221266272;209747564;1345530762;599349640;240433167;230447507;1689816774;999943889;226977621;267345626;3832610458;1565397916;236338485;272007621;8134439735;2563645478;293158770;285326458;32468724572;7652809967;323109414;310855712;0;15830791999;361331650;348509035;0;35729877587;471382244;382280968;0;0
Que livros de Kerouac foram publicados pela Viking Press?;246533906;254162527;278194690;259349585;262677371;268373615;416089297;386203343;258875154;251413723;724899468;502195151;292386967;269237622;1102155230;782734758;274850078;283811298;1767927606;1283716085;324330122;304442053;4611338020;1966783575;358328578;382894006;9145153857;3902758763;340664065;385579058;39266698614;6693704686;429691830;413423449;0;16973783117;640633673;589934473;0;29164428250;863186373;882299363;0;0
Qual a altura de Amazon Eve?;203826709;220523931;223957891;222408139;202357945;222135535;354265056;308633986;224860739;214116231;653027943;385838747;208687120;223975116;1130554029;593533476;214835651;219742477;1640851415;840424215;235530029;252812260;3545349527;985647265;243684122;251998114;8517465867;1334061439;289215001;289896087;27926451991;2995949892;284304197;274494613;0;18348676218;371128869;350147029;0;38713185839;393631848;392484242;0;0
Em que museu está exposto O Grito de Munch?;181356251;186692700;186060355;188303461;194894305;190380581;340286159;323864216;189502855;195001923;735301814;705682858;208602846;214640560;1268007093;1154588683;206731766;215854771;1831983005;2046173043;231961944;236285628;4362747243;4232772394;241561619;243951582;9977758015;6232753482;327878156;313523690;35985510766;13310662758;323755328;341905208;0;28156051871;350794869;394317985;0;43088249718;460616953;391137397;0;0
Quem escreveu o livro Os Pilares da Terra?;155305267;154686683;172853970;182703070;178080382;185822785;347116811;337050869;183780055;185292458;630020447;649249681;213051707;204348621;1122117771;1179841365;218126886;207060876;1640047998;1472479572;220757882;212680291;4334410943;2508881773;221341208;222010359;9024920941;3970528881;245895350;258492956;31690817330;8014060724;291585935;290417099;0;13851636489;319217592;296767936;0;24414916120;338866531;404104918;0;61693516222
James Bond é casado?;117092905;125931384;140150981;132041875;129411116;137180705;283466268;289231594;136644674;157733433;575478444;582995057;163102817;164630399;1062319413;980857410;178553184;183831841;1442012603;1436217326;186440614;190741320;3925252409;2730147845;230011230;230193936;7765353813;4073031296;290974089;327664396;27252578842;7322092094;288045492;324638929;0;13771850752;316815156;312928479;0;22832239985;384489046;388732560;0;59321699923
Quem descobriu Ceres?;171951172;181607275;197238082;203439951;184261827;188545876;353935434;307888491;190760966;174543644;635191447;440854310;197470467;188563372;1149353499;1055117352;201611745;185162983;1622468286;1145448294;196354602;214095652;4252355612;1895891073;242734580;248223295;9522693041;4600136456;238390418;255157589;33160980071;8636609952;243339489;260675213;0;18218483408;264099585;255579338;0;33409075388;280385110;280839289;0;0
Que rio a Ponte do Brooklyn cruza?;192048582;206094863;194274673;204818580;198586731;215233104;387361332;364515048;201292627;212986922;681435300;702698189;231997690;235243700;1155995786;1222810321;270127021;272014700;1637904531;1681624377;285895784;282718490;4458549482;3546873064;292754329;285330567;8995854983;5546678189;386093272;385911245;35890870534;11491800055;469777469;485142466;0;25065136830;462525930;468228205;0;39547823555;837365359;862955079;0;0
Quem foi chamado de Frank The Tank?;162667788;168672821;180086753;184384544;174515515;176793523;326192571;232492788;187881025;169089537;641433883;461063484;175422967;177381316;1189045526;926186091;199093639;192456850;1824084694;1321931998;193927317;198477682;4154231927;2456350388;204047504;197782815;8356843085;4016739317;218852785;219095976;37587518761;7459056272;221378177;227393513;0;13033685864;261819388;314702002;0;24323828733;289909489;277522835;0;0
Qual é o maior país do mundo;595304193;590622008;606798887;599561493;642498075;503549989;692309372;489941904;551209490;587098505;1150754612;642804248;618927759;573790651;1551231182;692295788;600828142;502725626;2447271536;825225273;607591998;509055009;5086433721;1002652955;521430348;653039234;10623408596;1229565988;646544637;551852002;41472621945;1756615009;556671643;535037409;0;2419079720;569121878;673526336;0;3696969358;743442773;852217769;0;13683328290
Quem é o prefeito de Paris?;260359578;263281016;259818839;250218110;240112527;253904671;452546340;373929360;271131774;264485804;698928439;666690052;277340516;296629238;1173350513;1095044158;305063048;307055528;1606054177;1544857596;349338371;351498549;4045277981;3812870592;389201244;421412322;7806025613;7539829217;523034321;513186769;37126567653;31541630378;633574025;632230676;0;0;774414858;553635284;0;0;662249091;955138951;0;0
